time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,q_ad,T,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
71,76.84744313,11.21091542,2.740989403,0.092904896,0.153524471,0.398170042,1.3699446,0,0,0,0.014394797,-46.47309061,0,486.9909394,71.04483912,17.36995988,0,0,0,0,0,0,0,-290.3976773,0,0,164.99,314.4,0,0,0,0,0,0,0,0,0,0,0,0
72,78.96259916,11.65831543,3.055040932,0.090402836,0.149829265,0.383239365,1.437104496,0,0,0,0.015660086,-48.34076402,0,501.7356247,74.07800958,19.41201134,0,0,0,0,0,0,0,-302.8065918,0,0,217.49,314.45,0,0,0,0,0,0,0,0,0,0,0,0
73,88.52662097,13.57294923,4.025222813,0.108164958,0.185741709,0.432254524,1.663564446,0,0,0,0.01868315,-56.91390705,0,552.4519542,84.7022313,25.11947462,0,0,0,0,0,0,0,-350.0283105,0,0,136.01,314.5,0,0,0,0,0,0,0,0,0,0,0,0
74,88.55567173,13.58775649,4.049115043,0.108238839,0.185737577,0.431641437,1.668498378,0,0,0,0.018791256,-56.91398737,0,552.8226512,84.8236981,25.27723487,0,0,0,0,0,0,0,-350.1369755,0,0,133.37,314.5,0,0,0,0,0,0,0,0,0,0,0,0
75,78.55493408,11.57848347,3.019586655,0.089465026,0.14795945,0.380376087,1.42763298,0,0,0,0.015552669,-47.98372197,0,499.6855445,73.65038091,19.2074988,0,0,0,0,0,0,0,-300.8997341,0,0,221.24,314.45,0,0,0,0,0,0,0,0,0,0,0,0
76,78.91510297,11.67949859,3.137111009,0.088823605,0.14637829,0.374248862,1.450811519,0,0,0,0.016081808,-48.24807002,0,503.0725611,74.45514291,19.99863664,0,0,0,0,0,0,0,-303.1752406,0,0,220.45,314.5,0,0,0,0,0,0,0,0,0,0,0,0
77,78.34574689,11.564607,3.083806136,0.087256085,0.143321386,0.36947001,1.435938055,0,0,0,0.015915441,-47.76973809,0,500.3097492,73.85066652,19.69294232,0,0,0,0,0,0,0,-300.7008142,0,0,228,314.6,0,0,0,0,0,0,0,0,0,0,0,0
78,77.95755054,11.49531786,3.062518251,0.085837503,0.140525333,0.364417495,1.430576595,0,0,0,0.015883861,-47.40658913,0,498.6521541,73.52931141,19.58926765,0,0,0,0,0,0,0,-298.9011699,0,0,218.88,314.35,0,0,0,0,0,0,0,0,0,0,0,0
79,78.11862802,11.54039362,3.082563919,0.087605212,0.143731778,0.370246023,1.440951733,0,0,0,0.015949504,-47.44971304,0,498.7687729,73.68265563,19.68143402,0,0,0,0,0,0,0,-298.6055456,0,0,221.84,314.5,0,0,0,0,0,0,0,0,0,0,0,0
80,88.22933429,13.55499417,4.123654524,0.105591535,0.180151708,0.418553908,1.677383225,0,0,0,0.019223067,-56.58061145,0,553.2556559,84.99868273,25.85801204,0,0,0,0,0,0,0,-349.6064326,0,0,138.56,314.4,0,0,0,0,0,0,0,0,0,0,0,0
